title,rank,date,artist,url,region,chart,trend,streams
Chantaje (feat. Maluma),1,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Argentina,top200,SAME_POSITION,253019
Vente Pa' Ca (feat. Maluma),2,2017-01-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Argentina,top200,MOVE_UP,223988
Reggaetón Lento (Bailemos),3,2017-01-01,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Argentina,top200,MOVE_DOWN,210943
Safari,4,2017-01-01,"J Balvin, Pharrell Williams, BIA, Sky",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,Argentina,top200,SAME_POSITION,173865
Shaky Shaky,5,2017-01-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Argentina,top200,MOVE_UP,153956
Traicionera,6,2017-01-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Argentina,top200,MOVE_DOWN,151140
Cuando Se Pone a Bailar,7,2017-01-01,Rombai,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,Argentina,top200,MOVE_DOWN,148369
Otra vez (feat. J Balvin),8,2017-01-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Argentina,top200,MOVE_DOWN,143004
La Bicicleta,9,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Argentina,top200,MOVE_UP,126389
Dile Que Tu Me Quieres,10,2017-01-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Argentina,top200,MOVE_DOWN,112012
Andas En Mi Cabeza,11,2017-01-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Argentina,top200,SAME_POSITION,110395
Desde Esa Noche (feat. Maluma),12,2017-01-01,Thalia,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E,Argentina,top200,MOVE_UP,104592
Borro Cassette,13,2017-01-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Argentina,top200,MOVE_UP,101535
Gyal You A Party Animal - Remix,14,2017-01-01,"Charly Black, Daddy Yankee",https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,Argentina,top200,MOVE_DOWN,99722
Me llamas (feat. Maluma) - Remix,15,2017-01-01,Piso 21,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,Argentina,top200,MOVE_DOWN,95010
La Bicicleta (feat. Maluma) - Remix,16,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/7IRuf7FrdQvOGs0g9mSNGr,Argentina,top200,MOVE_UP,92723
DUELE EL CORAZON (feat. Wisin),17,2017-01-01,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Argentina,top200,MOVE_UP,91325
Let Me Love You,18,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Argentina,top200,MOVE_DOWN,87926
La Noche No Es para Dormir,19,2017-01-01,Mano Arriba,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0,Argentina,top200,SAME_POSITION,87033
Vacaciones,20,2017-01-01,Wisin,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,Argentina,top200,MOVE_DOWN,86103
Rockabye (feat. Sean Paul & Anne-Marie),21,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Argentina,top200,SAME_POSITION,76123
Carnavalintro,22,2017-01-01,Chano,https://open.spotify.com/track/0tGAPnTFwRJA6FZgYZ0BAe,Argentina,top200,MOVE_UP,71963
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",23,2017-01-01,"IAmChino, El Chacal",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,Argentina,top200,MOVE_UP,71892
One Dance,24,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Argentina,top200,MOVE_UP,71498
My Way,25,2017-01-01,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,Argentina,top200,SAME_POSITION,70795
Cold Water (feat. Justin Bieber & MØ),26,2017-01-01,Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Argentina,top200,SAME_POSITION,70260
La Gozadera (feat. Marc Anthony),27,2017-01-01,Gente De Zona,https://open.spotify.com/track/0OMRAvrtLWE2TvcXorRiB9,Argentina,top200,MOVE_UP,70028
Llamame Mas Temprano,28,2017-01-01,Mano Arriba,https://open.spotify.com/track/5aHJug2wnupoGfgfxRudsk,Argentina,top200,MOVE_UP,69382
Starboy,29,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Argentina,top200,SAME_POSITION,65518
Manicomio,30,2017-01-01,Cosculluela,https://open.spotify.com/track/3n58u3LOFw8mITLvfPvQBz,Argentina,top200,MOVE_DOWN,64998
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",31,2017-01-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Argentina,top200,MOVE_DOWN,64907
Don't Wanna Know,32,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Argentina,top200,MOVE_DOWN,61714
Sin Contrato (feat. Don Omar & Wisin) - Remix,33,2017-01-01,Maluma,https://open.spotify.com/track/2xNZeeqmwMPVKnD7FSQfgt,Argentina,top200,MOVE_UP,59903
24K Magic,34,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Argentina,top200,MOVE_DOWN,58801
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",35,2017-01-01,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Argentina,top200,MOVE_UP,56170
Fuego,36,2017-01-01,Juanes,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,Argentina,top200,MOVE_UP,55902
Bobo,37,2017-01-01,J Balvin,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,Argentina,top200,MOVE_UP,55360
In the Name of Love,38,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Argentina,top200,MOVE_DOWN,54980
Tu Ritmo,39,2017-01-01,Los Bonnitos,https://open.spotify.com/track/0BFgCEE7ozbyB1PpLpLyhM,Argentina,top200,MOVE_UP,54081
I Took A Pill In Ibiza - Seeb Remix,40,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Argentina,top200,MOVE_DOWN,53270
Ya Me Enteré (feat. Nicky Jam) - Urban Version,41,2017-01-01,Reik,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,Argentina,top200,MOVE_DOWN,52907
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],42,2017-01-01,Ozuna,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,Argentina,top200,MOVE_DOWN,52670
Te Quiero Pa´Mi,43,2017-01-01,"Don Omar, Zion & Lennox",https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,Argentina,top200,MOVE_DOWN,51352
Sin Contrato (feat. Fifth Harmony),44,2017-01-01,Maluma,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,Argentina,top200,MOVE_UP,51115
Picky,45,2017-01-01,Joey Montana,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,Argentina,top200,MOVE_UP,51113
Work,46,2017-01-01,"Rihanna, Drake",https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,Argentina,top200,MOVE_DOWN,50655
Noche Loca,47,2017-01-01,"Marama, Rombai",https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,Argentina,top200,MOVE_UP,49100
Don't Let Me Down (feat. Daya),48,2017-01-01,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,Argentina,top200,MOVE_DOWN,48767
Hasta el Amanecer,49,2017-01-01,Nicky Jam,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,Argentina,top200,MOVE_UP,47672
Le Hace Falta un Beso,50,2017-01-01,Agapornis,https://open.spotify.com/track/300xUYXWhFA6Q1sbNvVItP,Argentina,top200,MOVE_UP,45251
Cake By The Ocean,51,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Argentina,top200,SAME_POSITION,44524
Chillax (feat. Ky-Mani Marley),52,2017-01-01,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,Argentina,top200,MOVE_DOWN,44495
Loquita,53,2017-01-01,Marama,https://open.spotify.com/track/2xjcDF21U2ccgE2LEeiMbf,Argentina,top200,MOVE_UP,43894
Te Vas,54,2017-01-01,Ozuna,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU,Argentina,top200,MOVE_DOWN,43704
Closer,55,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Argentina,top200,MOVE_DOWN,43403
Locuras contigo,56,2017-01-01,Rombai,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,Argentina,top200,MOVE_UP,43260
Treat You Better,57,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Argentina,top200,MOVE_DOWN,42815
Era Tranquila,58,2017-01-01,Marama,https://open.spotify.com/track/5OqaLWo9WbNPWDilrwNwzt,Argentina,top200,MOVE_UP,42785
Baila,59,2017-01-01,Agapornis,https://open.spotify.com/track/3iS4VBJ3Bg1HyL3e6WNpgi,Argentina,top200,SAME_POSITION,42127
Nena,60,2017-01-01,Marama,https://open.spotify.com/track/347TStOSY6IOqMB84Rpxwk,Argentina,top200,MOVE_UP,41737
Deja De Llorar,61,2017-01-01,El Polaco,https://open.spotify.com/track/3tddzXTgneWrkV2cYNUBZe,Argentina,top200,MOVE_UP,40065
El Perdedor,62,2017-01-01,Maluma,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O,Argentina,top200,MOVE_DOWN,39691
Traicionera - Remix,63,2017-01-01,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,Argentina,top200,MOVE_DOWN,37518
Yo te propongo,64,2017-01-01,Rombai,https://open.spotify.com/track/0YFoSD5VhoVrRbrnFERpVM,Argentina,top200,MOVE_UP,36808
El Perdedor (feat. Yandel) - The Remix,65,2017-01-01,Maluma,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa,Argentina,top200,MOVE_DOWN,36510
Lo Intentamos,66,2017-01-01,Marama,https://open.spotify.com/track/4Kzk0koKwzCMiIx4rAqCZp,Argentina,top200,MOVE_UP,35965
Hasta la luna,67,2017-01-01,#TocoParaVos,https://open.spotify.com/track/1A3yLIqelu1D7MCtw06Cu7,Argentina,top200,MOVE_UP,35806
Comerte a Besos,68,2017-01-01,"Pijama Party, Cande Buasso",https://open.spotify.com/track/4UHZMWgKDjJ1zS0t6f6qPv,Argentina,top200,MOVE_DOWN,34879
La Mordidita (feat. Yotuel),69,2017-01-01,Ricky Martin,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,Argentina,top200,MOVE_UP,34638
Ginza,70,2017-01-01,J Balvin,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,Argentina,top200,MOVE_UP,34542
Call On Me - Ryan Riback Extended Remix,71,2017-01-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Argentina,top200,MOVE_DOWN,33892
El Perdón,72,2017-01-01,"Nicky Jam, Enrique Iglesias",https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,Argentina,top200,MOVE_UP,33188
Pasarla Bien,73,2017-01-01,Marama,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ,Argentina,top200,MOVE_UP,33111
No Llores,74,2017-01-01,LOAN,https://open.spotify.com/track/07GOnZWIiHWjLzUsaTv5yO,Argentina,top200,MOVE_DOWN,32778
Would I Lie to You - Radio Edit,75,2017-01-01,"David Guetta, Cedric Gervais, Chris Willis",https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2,Argentina,top200,MOVE_DOWN,32198
I Feel It Coming,76,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Argentina,top200,MOVE_DOWN,30754
Baila Conmigo,77,2017-01-01,"Juan Magán, Luciana",https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,Argentina,top200,MOVE_UP,30623
Una Cerveza,78,2017-01-01,Rafaga,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,Argentina,top200,MOVE_UP,30368
Me Ama Me Odia,79,2017-01-01,"Ozuna, Cosculluela, Revol",https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv,Argentina,top200,MOVE_DOWN,29979
Just Hold On,80,2017-01-01,"Steve Aoki, Louis Tomlinson",https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,Argentina,top200,MOVE_DOWN,29609
Side To Side,81,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Argentina,top200,MOVE_DOWN,29228
Bailame Despacio,82,2017-01-01,"Xantos, Dynell",https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,Argentina,top200,MOVE_DOWN,28781
